neuron_id,spike_time
0,543.5 ms
0,596.75 ms
0,666.3499999999999 ms
0,676.3000000000002 ms
0,680.3499999999999 ms
0,692.0 ms
0,703.0 ms
0,746.55 ms
0,766.5999999999999 ms
0,768.05 ms
0,769.75 ms
0,770.4000000000001 ms
0,783.3 ms
0,790.95 ms
0,794.6499999999999 ms
0,801.7 ms
0,803.45 ms
0,862.4999999999998 ms
0,862.8999999999999 ms
0,869.4999999999998 ms
0,890.55 ms
0,897.2499999999998 ms
0,912.8999999999999 ms
0,919.1499999999999 ms
0,927.2499999999998 ms
0,949.8 ms
0,1058.9499999999998 ms
0,1059.8999999999996 ms
0,1081.6999999999998 ms
0,1129.0499999999997 ms
0,1148.5499999999997 ms
0,1152.35 ms
0,1194.7499999999995 ms
0,1225.0499999999997 ms
0,1229.85 ms
0,1235.7499999999995 ms
0,1236.2499999999995 ms
0,1239.0499999999997 ms
0,1258.6 ms
0,1262.6 ms
0,1272.0499999999997 ms
0,1276.85 ms
0,1294.1999999999994 ms
0,1324.4499999999994 ms
0,1342.6999999999994 ms
0,1347.3999999999996 ms
0,1354.9999999999995 ms
0,1384.2499999999995 ms
0,1392.5999999999995 ms
0,1394.1999999999994 ms
0,1396.8499999999995 ms
0,1399.6499999999996 ms
0,1416.749999999999 ms
0,1432.2999999999993 ms
0,1434.249999999999 ms
0,1447.8499999999995 ms
0,1464.7999999999993 ms
0,1475.5999999999995 ms
0,1478.8499999999995 ms
0,1483.1499999999992 ms
0,1495.499999999999 ms
0,1510.2999999999993 ms
0,1514.699999999999 ms
0,1515.3499999999995 ms
0,1529.949999999999 ms
0,1531.199999999999 ms
0,1534.699999999999 ms
0,1539.6499999999992 ms
0,1556.6999999999994 ms
0,1575.599999999999 ms
0,1582.2499999999995 ms
0,1583.5499999999993 ms
0,1595.5499999999993 ms
0,1602.3499999999995 ms
0,1609.0999999999995 ms
0,1626.749999999999 ms
0,1632.249999999999 ms
0,1638.4499999999994 ms
0,1644.7499999999995 ms
0,1676.9499999999994 ms
0,1695.7499999999995 ms
0,1703.0499999999993 ms
0,1708.7999999999993 ms
0,1725.5499999999993 ms
0,1727.249999999999 ms
0,1727.6499999999996 ms
0,1740.2999999999993 ms
0,1751.0499999999993 ms
0,1766.3999999999996 ms
0,1766.5499999999993 ms
0,1767.7999999999993 ms
0,1778.9499999999998 ms
0,1798.9499999999998 ms
0,1803.4499999999998 ms
0,1824.9499999999998 ms
0,1825.6999999999998 ms
0,1837.5999999999995 ms
0,1849.3999999999996 ms
0,1850.5999999999995 ms
0,1852.5999999999995 ms
0,1865.8999999999996 ms
0,1875.1999999999998 ms
0,1883.6999999999998 ms
0,1886.4999999999995 ms
0,1907.3999999999996 ms
0,1908.5499999999997 ms
0,1927.7999999999997 ms
0,1928.1499999999996 ms
0,1934.2999999999997 ms
0,1945.7999999999997 ms
0,1948.7499999999995 ms
0,1949.0499999999997 ms
0,1951.7999999999997 ms
0,1964.1499999999996 ms
0,1983.4499999999998 ms
0,2002.1999999999998 ms
0,2007.9999999999995 ms
0,2024.8999999999996 ms
0,2029.0999999999995 ms
0,2031.5499999999997 ms
0,2032.6 ms
0,2051.95 ms
0,2056.25 ms
0,2057.1499999999996 ms
0,2059.75 ms
0,2068.3 ms
0,2069.9000000000005 ms
0,2070.0999999999995 ms
0,2088.6500000000005 ms
0,2094.3499999999995 ms
0,2094.7 ms
0,2096.75 ms
0,2098.6499999999996 ms
0,2106.3999999999996 ms
0,2119.1000000000004 ms
0,2120.6499999999996 ms
0,2121.3999999999996 ms
0,2143.6499999999996 ms
0,2145.2000000000007 ms
0,2147.2000000000007 ms
0,2150.75 ms
0,2158.550000000001 ms
0,2160.550000000001 ms
0,2168.1000000000004 ms
0,2187.1000000000004 ms
0,2225.1000000000004 ms
0,2242.550000000001 ms
0,2247.25 ms
0,2248.4000000000005 ms
0,2256.3500000000004 ms
0,2263.1000000000004 ms
0,2265.3500000000004 ms
0,2265.9500000000007 ms
0,2266.75 ms
0,2302.25 ms
0,2320.4000000000005 ms
0,2324.500000000001 ms
0,2335.6500000000005 ms
0,2341.6000000000004 ms
0,2349.9000000000005 ms
0,2354.6000000000004 ms
0,2358.4000000000005 ms
0,2362.3500000000004 ms
0,2369.4000000000005 ms
0,2369.8500000000004 ms
0,2376.55 ms
0,2376.95 ms
0,2379.1500000000005 ms
0,2386.6500000000005 ms
0,2390.6500000000005 ms
0,2390.75 ms
0,2397.8500000000004 ms
0,2404.95 ms
0,2418.3 ms
0,2427.499999999999 ms
0,2432.499999999999 ms
0,2436.55 ms
0,2436.95 ms
0,2438.0999999999995 ms
0,2439.6500000000005 ms
0,2460.0999999999995 ms
0,2461.0 ms
0,2464.3 ms
0,2471.6000000000004 ms
0,2472.0 ms
0,2480.1000000000004 ms
0,2484.9000000000005 ms
0,2493.2000000000007 ms
0,2496.800000000001 ms
0,2508.050000000001 ms
0,2509.0 ms
0,2513.4500000000007 ms
0,2516.75 ms
0,2518.050000000001 ms
0,2520.2000000000007 ms
0,2526.1500000000005 ms
0,2529.250000000001 ms
0,2534.1000000000004 ms
0,2558.5 ms
0,2562.6500000000005 ms
0,2571.2000000000007 ms
0,2585.4500000000007 ms
0,2588.500000000001 ms
0,2589.4500000000007 ms
0,2592.7000000000007 ms
0,2597.1500000000005 ms
0,2605.6000000000004 ms
0,2606.75 ms
0,2621.7000000000007 ms
0,2641.6499999999996 ms
0,2642.3 ms
0,2643.95 ms
0,2652.7 ms
0,2655.8 ms
0,2671.45 ms
0,2675.8 ms
0,2684.3 ms
0,2686.5 ms
0,2703.1000000000004 ms
0,2733.2999999999993 ms
0,2739.0499999999993 ms
0,2742.95 ms
0,2745.0 ms
0,2751.55 ms
0,2753.1000000000004 ms
0,2754.0 ms
0,2756.0 ms
0,2762.7000000000007 ms
0,2767.8500000000004 ms
0,2768.2000000000007 ms
0,2768.8999999999996 ms
0,2770.4500000000007 ms
0,2780.2000000000007 ms
0,2801.05 ms
0,2803.55 ms
0,2806.3 ms
0,2811.1500000000005 ms
0,2812.3499999999995 ms
0,2820.6500000000005 ms
0,2822.95 ms
0,2823.3 ms
0,2832.9000000000005 ms
0,2841.55 ms
0,2842.6500000000005 ms
0,2848.8499999999995 ms
0,2858.3 ms
0,2861.0999999999995 ms
0,2886.95 ms
0,2890.2 ms
0,2890.8 ms
0,2900.3999999999996 ms
0,2904.95 ms
0,2908.3499999999995 ms
0,2912.1500000000005 ms
0,2916.6500000000005 ms
0,2920.0999999999995 ms
0,2925.2 ms
0,2930.3 ms
0,2953.1499999999996 ms
0,2980.25 ms
0,2981.5999999999995 ms
0,2984.3499999999995 ms
0,2986.8999999999996 ms
0,2987.0 ms
0,2988.25 ms
0,2988.8999999999996 ms
0,2998.3999999999996 ms
0,3002.5499999999993 ms
0,3005.75 ms
0,3009.25 ms
0,3016.0499999999993 ms
0,3023.5499999999993 ms
0,3028.2 ms
0,3042.75 ms
0,3046.25 ms
0,3049.6000000000004 ms
0,3051.25 ms
0,3062.7 ms
0,3078.0 ms
0,3087.1499999999996 ms
0,3088.55 ms
0,3101.2 ms
0,3114.000000000001 ms
0,3131.2 ms
0,3143.55 ms
0,3160.0 ms
0,3165.8500000000004 ms
0,3167.7 ms
0,3208.8 ms
0,3210.3999999999996 ms
0,3213.0999999999995 ms
0,3214.8499999999995 ms
0,3216.999999999999 ms
0,3242.95 ms
0,3249.45 ms
0,3257.499999999999 ms
0,3259.5999999999995 ms
0,3260.999999999999 ms
0,3267.8499999999995 ms
0,3276.2999999999993 ms
0,3285.8499999999995 ms
0,3303.2 ms
0,3306.3499999999995 ms
0,3314.249999999999 ms
0,3317.499999999999 ms
0,3323.55 ms
0,3324.3499999999995 ms
0,3334.05 ms
0,3362.3499999999995 ms
0,3376.7 ms
0,3377.6499999999996 ms
0,3385.7999999999993 ms
0,3386.5 ms
0,3388.0 ms
0,3389.0 ms
0,3392.3499999999995 ms
0,3396.2999999999993 ms
0,3397.6499999999996 ms
0,3398.0499999999993 ms
0,3398.949999999999 ms
0,3406.5 ms
0,3406.699999999999 ms
0,3408.7999999999993 ms
0,3411.249999999999 ms
0,3413.2999999999993 ms
0,3416.199999999999 ms
0,3420.0999999999995 ms
0,3423.999999999999 ms
0,3447.05 ms
0,3452.1499999999996 ms
0,3458.1499999999996 ms
0,3462.95 ms
0,3477.3499999999995 ms
0,3477.9000000000005 ms
0,3479.3499999999995 ms
0,3494.95 ms
0,3496.3 ms
0,3509.3499999999995 ms
0,3512.7 ms
